Time	Male	Female	Zombie
958	22222	20396	0
959	22222	20396	0
960	22222	20396	0
961	22222	20396	0
962	22222	20396	0
963	22222	20396	0
964	22222	20396	0
965	22222	20396	0
966	22222	20396	0
967	22222	20396	0
968	22222	20396	0
969	22222	20396	0
970	22222	20396	0
971	22222	20396	0
972	22222	20396	0
973	22222	20396	0
974	22222	20396	0
975	22222	20396	0
976	22222	20396	0
977	22222	20396	0
978	22222	20396	0
979	22221	20396	0
980	22221	20396	0
981	22221	20396	0
982	22221	20396	0
983	22221	20396	0
984	22221	20396	0
985	22221	20396	0
986	22221	20396	0
987	22221	20396	0
988	22221	20396	0
989	22221	20396	0
990	22221	20396	0
991	22221	20396	0
992	22221	20396	0
993	22220	20396	0
994	22220	20395	0
995	22220	20395	0
996	22220	20395	0
997	22220	20395	0
998	22220	20395	0
999	22220	20395	0
1000	22220	20395	0
1001	22220	20395	0
1002	22220	20395	0
1003	22220	20395	0
1004	22220	20395	0
1005	22220	20395	0
1006	22220	20395	0
1007	22219	20395	0
1008	22219	20395	0
1009	22219	20395	0
1010	22219	20395	0
1011	22219	20394	0
1012	22219	20393	0
1013	22219	20393	0
1014	22219	20393	0
1015	22219	20393	0
1016	22219	20393	0
1017	22219	20393	0
1018	22218	20393	0
1019	22218	20392	0
1020	22218	20392	0
1021	22218	20392	0
1022	22218	20392	0
1023	22218	20392	0
1024	22218	20392	0
1025	22218	20392	0
1026	22218	20392	0
1027	22217	20392	0
1028	22217	20392	0
1029	22217	20392	0
1030	22217	20392	0
1031	22217	20392	0
1032	22217	20392	0
1033	22217	20391	0
1034	22217	20391	0
1035	22217	20391	0
1036	22217	20391	0
1037	22217	20391	0
1038	22217	20391	0
1039	22217	20391	0
1040	22217	20390	0
1041	22217	20390	0
1042	22217	20390	0
1043	22217	20390	0
1044	22217	20390	0
1045	22217	20389	0
1046	22217	20389	0
1047	22217	20389	0
1048	22217	20389	0
1049	22217	20389	0
1050	22217	20389	0
1051	22217	20389	0
1052	22217	20389	0
1053	22217	20389	0
1054	22217	20389	0
1055	22217	20389	0
1056	22217	20389	0
1057	22217	20389	0
1058	22217	20389	0
1059	22217	20389	0
1060	22217	20389	0
1061	22217	20389	0
1062	22217	20389	0
1063	22217	20389	0
1064	22217	20389	0
1065	22217	20389	0
1066	22217	20389	0
1067	22217	20389	0
1068	22217	20389	0
1069	22217	20389	0
1070	22217	20389	0
1071	22217	20389	0
1072	22217	20389	0
1073	22217	20389	0
1074	22217	20389	0
1075	22217	20389	0
1076	22217	20389	0
1077	22217	20389	0
1078	22217	20389	0
1079	22217	20389	0
1080	22217	20389	0
1081	22217	20388	0
1082	22217	20388	0
